Year,Terminal,Station,Latitude,Longitude,NB Docks,Notes,Install Date
2015,30000,100 Main Street SE,44.984892,-93.256551,27,,
2015,30001,25th Street & 33rd Ave S,44.957341,-93.223374,15,,
2015,30002,Riverside Ave & 23rd Ave S,44.967115,-93.240149,15,,
2015,30003,Plymouth Ave N &  N Oliver Ave,44.991412,-93.306269,15,,
2015,30004,11th Street & Hennepin,44.97534,-93.27869,23,,
2015,30005,Hennepin & Central Avenue NE,44.98889,-93.25392,15,,
2015,30006,YWCA Downtown,44.972217,-93.276435,23,,
2015,30007,9th Street & 4th Ave,44.97265,-93.26872,19,,
2015,30008,Midtown Exchange,44.94859,-93.2602,19,,
2015,30009,4th Street & 13th Ave SE,44.98102,-93.23746,19,,
2015,30010,Hennepin & Laurel Ave,44.97391,-93.28305,15,,
2015,30011,North 2nd Street & 4th Ave N,44.986087,-93.272459,19,,
2015,30012,Mpls Convention Center,44.970041,-93.275861,19,,
2015,30013,Lyndale Ave S & W 29th Street,44.9494847,-93.2882273,19,,
2015,30014,22nd Ave S & Franklin Ave,44.96293,-93.241042,15,,
2015,30015,Washington & Cedar,44.97344,-93.24748,20,,
2015,30016,Walker Art Center,44.96746,-93.28848,17,,
2015,30017,Lyndale Ave S & 22nd Street,44.960744,-93.28815,19,,
2015,30018,MCAD,44.957214,-93.274981,17,,
2015,30019,Social Sciences,44.971359,-93.243754,29,,
2015,30020,YWCA Uptown,44.95131,-93.29853,19,,
2015,30021,Washington & 2nd Ave N,44.98383,-93.27099,19,,
2015,30022,26th Street & Lyndale,44.95548,-93.28775,15,,
2015,30023,Chicago & 27th Street,44.95355,-93.26259,15,,
2015,30024,Coffman Union,44.973378,-93.234762,35,,
2015,30025,Williamson Hall,44.977406,-93.234911,25,,
2015,30026,Mayo Memorial Building,44.97209,-93.23206,25,,
2015,30027,4th Street S & 19th Ave,44.97003,-93.24519,19,,
2015,30028,Washington & Marquette,44.98112,-93.26634,19,,
2015,30029,Hennepin County Government Center,44.976602,-93.266701,27,,
2015,30030,South 2nd Street & 3rd Ave S,44.9809267,-93.2634544,27,,
2015,30031,23rd Ave SE & 6th Street SE,44.977028,-93.221639,19,,
2015,30032,4th Street & 17th Ave SE,44.97913,-93.23189,15,,
2015,30033,Franklin & 11th Ave,44.96251,-93.2583,15,,
2015,30034,Oak Street Ramp,44.97202,-93.22697,23,,
2015,30035,Loring Park,44.9715,-93.284927,15,,
2015,30036,Downtown Library,44.980199,-93.269217,31,,
2015,30037,Currie Park,44.969225,-93.251136,15,,
2015,30038,E Franklin Ave & Bloomington Ave S,44.96285,-93.252269,15,,
2015,30039,10th Street & Nicollet Mall,44.973839,-93.274544,19,,
2015,30040,11th Street & Marquette,44.97265,-93.27405,15,,
2015,30041,Franklin & Portland,44.962846,-93.267526,15,,
2015,30042,IDS Center,44.975641,-93.272185,23,,
2015,30043,Lake Street & Humboldt,44.94865,-93.30077,19,,
2015,30044,26th Street & Hennepin,44.9554734,-93.297143,15,,
2015,30045,Franklin & 28th Ave,44.962701,-93.230893,19,,
2015,30046,Washington Ave S & 10th Ave S,44.97654,-93.25535,19,,
2015,30047,University & Bank Street SE,44.98717,-93.25576,19,,
2015,30048,Dupont Ave & 22nd Street,44.96146,-93.29303,15,,
2015,30049,Nicollet Ave & W 26th Street,44.95618,-93.27796,15,,
2015,30050,3rd Street S & 2nd Ave S,44.97974,-93.26599,27,,
2015,30051,7th Street & 4th Ave. S,44.97497,-93.266684,15,,
2015,30052,Nicollet Mall and Grant Street,44.96995,-93.278133,15,,
2015,30053,2nd Ave N & N 6th Street,44.980536,-93.275626,23,,
2015,30054,Midtown Greenway & 5th Ave S,44.950371,-93.269278,15,,
2015,30055,Malcolm Ave SE & 5th Street SE,44.9733714,-93.211264,23,"Moved 6/4/15 from Hennepin Ave & 4th Street  44.980159, -93.271631",
2015,30056,Target Field Station,44.9841254,-93.2790381,23,,
2015,30057,McNamara Center,44.9743,-93.22854,19,,
2015,30058,Elliot Hall,44.97685,-93.23818,15,,
2015,30059,Glenwood Ave & N Morgan Ave.,44.981147,-93.304427,15,,
2015,30060,Nicollet & Franklin,44.96342,-93.277939,23,,
2015,30061,W 31st Street & Hennepin Ave S,44.946687,-93.29736,19,,
2015,30062,Minneapolis Farmers Market,44.98052,-93.28542,15,,
2015,30063,Elliot Park,44.970553,-93.26079,15,,
2015,30064,28th Street & Nicollet Ave. S,44.9519,-93.27831,15,,
2015,30065,Washington Ave N & 9th Ave N,44.9898791,-93.2797837,15,,
2015,30066,Wirth Beach,44.9798,-93.322066,15,,
2015,30067,Bryant Ave. N & West Broadway,44.999341,-93.290941,15,,
2015,30068,Girard Ave N & W Broadway Ave,44.99957,-93.297071,15,,
2015,30069,Farview Park,45.005994,-93.287559,15,,
2015,30070,West Broadway & Logan Ave N,45.002448,-93.305857,15,,
2015,30071,North Regional Library,45.012998,-93.296761,15,,
2015,30072,Lowry Ave N & Penn Ave,45.013318,-93.307798,15,,
2015,30073,West 34th Street  & Hennepin Ave S,44.941388,-93.298634,19,,
2015,30074,27th Ave SE & University Ave.,44.97259,-93.218919,15,,
2015,30075,Curfew Street & Ellis Ave.,44.96616,-93.20525,15,,
2015,30076,Carleton Street & University Ave,44.963549,-93.195906,15,,
2015,30077,Fairview Ave. & University Ave.,44.95665,-93.17706,15,,
2015,30078,Hamline University,44.964172,-93.165868,15,,
2015,30079,Sherburne Ave & Snelling Ave N,44.956624,-93.16734,15,,
2015,30080,Midtown YWCA,44.94823,-93.24054,15,,
2015,30081,East Lake Street & 36th Ave S,44.94826,-93.22106,15,,
2015,30082,N Victoria Street & University Ave,44.956052,-93.136556,15,,
2015,30083,Wilder Street & Marshall Ave,44.948147,-93.185819,15,,
2015,30084,Grand Ave & Cretin Ave,44.939936,-93.192758,15,,
2015,30085,Grand Ave & Fairview Ave,44.940513,-93.177093,15,,
2015,30086,Macalester College,44.940218,-93.17022,15,,
2015,30087,Grant Street & Portland Ave,44.96954,-93.2669,15,,
2015,30088,6th Ave. SE & University Ave.,44.983281,-93.24812,23,,
2015,30089,Lake Calhoun Center,44.94885,-93.31759,27,,
2015,30090,Portland Ave. & Washington Ave.,44.978068,-93.26023,19,,
2015,30091,Gateway Park,44.9825943,-93.2675139,15,,
2015,30092,2nd Street N & 8th Ave. N,44.989166,-93.27651,19,,
2015,30093,West 15th Street & Willow,44.968237,-93.281991,19,,
2015,30094,West 32nd Street & Bryant Ave S,44.94478,-93.29038,15,,
2015,30095,West 36th Street & Bryant Ave S,44.93775,-93.2912,15,,
2015,30096,University Ave. NE & 12th Ave. NE,44.999894,-93.26296,15,,
2015,30097,Pleasant Ave S &  Lake Street,44.948556,-93.283163,15,,
2015,30098,Marshall Street NE & 8th Ave. NE,44.995348,-93.266854,15,,
2015,30099,Kowalski's Market,44.94016,-93.1529,15,,
2015,30100,Lake Como Pavilion,44.981914,-93.143383,23,,
2015,30101,N Milton Street & Summit Ave,44.941599,-93.138832,15,,
2015,30102,Como Park Conservatory,44.98115,-93.1517,23,,
2015,30103,Hague Ave & Dale Street,44.945736,-93.12661,15,,
2015,30104,Logan Park,44.99882,-93.25276,15,,
2015,30105,Lexington Pkwy & University Ave,44.955363,-93.146379,15,,
2015,30106,Dale Street & Grand Ave.,44.939779,-93.126261,15,,
2015,30107,Dale Street N & University Ave,44.956066,-93.126088,15,,
2015,30108,University Ave SE & 29th Ave SE,44.971012,-93.214864,15,,
2015,30109,Como Ave. SE & 29th Ave. SE,44.987934,-93.212892,15,,
2015,30110,15th Ave. SE & Como Ave. SE,44.987517,-93.230469,15,,
2015,30111,St. Paul Police Western District,44.953527,-93.156984,15,,
2015,30112,Central Ave. NE & 22nd Ave NE,45.00994,-93.247114,15,,
2015,30113,U of M St. Paul Student Center,44.984527,-93.185029,15,,
2015,30114,Cleveland Ave N & Laurel Ave,44.945367,-93.1873,15,,
2015,30115,Washington Ave SE & Union Street SE,44.97394,-93.2321,15,,
2015,30116,Minnesota History Center,44.949053,-93.10673,15,,
2015,30117,10th Street E & Cedar Street,44.950189,-93.09759,15,,
2015,30118,7th Place & Jackson Street,44.949433,-93.091207,15,,
2015,30119,Union Depot,44.948399,-93.086584,23,,
2015,30120,Kellogg Blvd E & Jackson Street,44.946191,-93.088802,19,,
2015,30121,7th Street E & Wacouta Street,44.950766,-93.089245,15,,
2015,30122,Broadway Street N & 4th Street E,44.94965,-93.0845,19,,
2015,30123,Minnesota Dept. of Transportation,44.95385,-93.10445,15,,
2015,30124,Kellogg Blvd W & Smith Ave,44.945173,-93.103863,15,,
2015,30125,Lafayette Road & Grove Street,44.956028,-93.08465,19,,
2015,30126,5th Street E & Minnesota Street N,44.94683,-93.09231,19,,
2015,30127,Landmark Plaza,44.945267,-93.096114,23,,
2015,30128,Wells Fargo Place,44.94813,-93.09663,19,,
2015,30129,State Street & Cesar Chavez Street,44.93002,-93.0779,15,,
2015,30130,Wabasha Street S & E Fillmore Ave,44.939047,-93.089031,15,,
2015,30131,Harriet Island,44.93768,-93.094532,23,,
2015,30132,Kellogg Blvd & Wabasha Street,44.943846,-93.09227,19,,
2015,30133,Wabasha Street S & Cesar Chavez Street,44.934503,-93.084497,15,,
2015,30134,Upper Landing,44.940902,-93.098712,19,,
2015,30135,7th Street W & Grand Ave,44.94144,-93.10624,19,,
2015,30136,Science Museum of Minnesota,44.942846,-93.097836,19,,
2015,30137,Selby Ave & Virginia Street,44.9467,-93.1151,19,,
2015,30138,University Ave & Western Ave,44.95562,-93.11665,15,,
2015,30139,E 14th Street & N Robert Street,44.954697,-93.097817,17,,
2015,30140,N Marion Street & University Ave W,44.95476,-93.10955,15,,
2015,30141,N Robert Street & E 10th Street,44.951132,-93.094545,19,,
2015,30142,9th Street N & Hawthorne Ave,44.977128,-93.277505,25,,
2015,30143,Chicago Ave & Washington Ave S,44.977521,-93.256736,19,,
2015,30144,N 4th Ave & W River Parkway,44.988461,-93.269087,15,,
2015,30145,Minneapolis Park & Recreation Board,45.00095,-93.277037,15,,
2015,30146,Webber Park,45.033069,-93.29065,15,,
2015,30147,Lake Street & West River Parkway,44.948452,-93.206201,15,,
2015,30148,46th Street Light Rail Station,44.920466,-93.21953,19,,
2015,30149,Minnehaha Park,44.916906,-93.213587,27,,
2015,30150,Fort Snelling Visitor Center,44.894044,-93.187381,27,,
2015,30151,Boom Island Park,44.99254,-93.270256,15,,
2015,30152,Broadway & Marshall Street NE,44.998613,-93.268633,15,,
2015,30153,Coldwater Spring,44.905043,-93.198283,15,,
2015,30154,11th Ave S & S 2nd Street,44.97673,-93.252189,15,,
2015,30155,University of St. Thomas,44.943017,-93.191837,19,,
2015,30156,Lake Nokomis,44.915957,-93.242761,23,,
2015,30157,Lake Harriet Bandshell,44.92936,-93.30713,25,,
2015,30158,Lake Street & Knox Ave S,44.9485,-93.305209,33,,
2015,30159,Fort Snelling State Park,44.890527,-93.18237,23,,
2015,30160,Dupont Ave S & W 29th Street,44.949699,-93.293129,15,,
2015,30161,27th Ave S & Minnehaha Ave,44.947329,-93.233092,15,,
2015,30162,Mississippi River Blvd & Summit Ave,44.940288,-93.197997,15,,
2015,30163,38th Street Light Rail Station,44.93434,-93.229338,15,,
2015,30164,Cleveland Ave S & Highland Parkway,44.919593,-93.187264,15,,
2015,30165,Upton Ave S & Sheridan Ave S,44.92515,-93.314597,19,,
2015,30166,W 36th Street & W Calhoun Parkway,44.937817,-93.320212,19,,
2015,30167,E 38th Street & 42nd Ave S,44.9342,-93.2125,15,,
2015,30168,Marshall Street NE & Lowry Ave,45.01312,-93.27166,15,,
2015,30169,Marshall Street NE & 18th Ave NE,45.006229,-93.271571,15,,
2014,30000,100 Main Street SE,44.984892,-93.256551,27,,
2014,30001,25th Street & 33rd Ave S,44.957341,-93.223374,15,,
2014,30002,Riverside Ave & 23rd Ave S,44.967115,-93.240149,15,,
2014,30003,Plymouth Ave N &  N Oliver Ave,44.991412,-93.306269,15,,
2014,30004,11th Street & Hennepin,44.97534,-93.27869,23,,
2014,30005,Hennepin & Central Avenue NE,44.98889,-93.25392,15,,
2014,30006,YWCA Downtown,44.972217,-93.276435,23,,
2014,30007,9th Street & 4th Ave,44.97265,-93.26872,19,,
2014,30008,Midtown Exchange,44.94859,-93.2602,19,,
2014,30009,4th Street & 13th Ave SE,44.98102,-93.23746,19,,
2014,30010,Hennepin & Laurel Ave,44.97391,-93.28305,15,,
2014,30011,North 2nd Street & 4th Ave N,44.986087,-93.272459,19,,
2014,30012,Mpls Convention Center,44.970041,-93.275861,19,,
2014,30013,Lyndale Ave S & W 29th Street,44.9494847,-93.2882273,19,,
2014,30014,22nd Ave S & Franklin Ave,44.96293,-93.241042,15,,
2014,30015,Washington & Cedar,44.97344,-93.24748,20,,
2014,30016,Walker Art Center,44.96746,-93.28848,17,,
2014,30017,22nd Street & Lyndale,44.960744,-93.28815,19,,
2014,30018,MCAD,44.957214,-93.274981,17,,
2014,30019,Social Sciences,44.971359,-93.243754,29,,
2014,30020,YWCA Uptown,44.95131,-93.29853,19,,
2014,30021,Washington & 2nd Ave N,44.98383,-93.27099,19,,
2014,30022,26th Street & Lyndale,44.95548,-93.28775,15,,
2014,30023,Chicago & 27th Street,44.95355,-93.26259,15,,
2014,30024,Coffman Union,44.973378,-93.234762,35,,
2014,30025,Williamson Hall,44.977406,-93.234911,25,,
2014,30026,Mayo Memorial Building,44.97209,-93.23206,25,,
2014,30027,4th Street S & 19th Ave,44.97003,-93.24519,19,,
2014,30028,Washington & Marquette,44.98112,-93.26634,19,,
2014,30029,Hennepin County Government Center,44.976602,-93.266701,27,,
2014,30030,South 2nd Street & 3rd Ave S,44.980926,-93.26285,27,,
2014,30031,23rd Ave SE & 6th Street SE,44.977028,-93.221639,19,,
2014,30032,4th Street & 17th Ave SE,44.97913,-93.23189,15,,
2014,30033,Franklin & 11th Ave,44.96251,-93.2583,15,,
2014,30034,Oak Street Ramp,44.97202,-93.22697,23,,
2014,30035,Loring Park,44.9715,-93.284927,15,,
2014,30036,Downtown Library,44.980199,-93.269217,31,,
2014,30037,Currie Park,44.969225,-93.251136,15,,
2014,30038,E Franklin Ave & Bloomington Ave S,44.962849,-93.247052,15,,
2014,30039,10th Street & Nicollet Mall,44.973839,-93.274544,19,,
2014,30040,11th Street & Marquette,44.97265,-93.27405,15,,
2014,30041,Franklin & Portland,44.962846,-93.267526,15,,
2014,30042,IDS Center,44.975641,-93.272185,23,,
2014,30043,Lake Street & Humboldt,44.94865,-93.30077,19,,
2014,30044,26th Street & Hennepin,44.9554734,-93.29714298,15,,
2014,30045,Franklin & 28th Ave,44.962701,-93.230893,19,,
2014,30046,Washington Ave S & 10th Ave S,44.97654,-93.25535,19,,
2014,30047,University & Bank Street SE,44.98717,-93.25576,19,,
2014,30048,Dupont Ave & 22nd Street,44.96146,-93.29303,15,,
2014,30049,Nicollet Ave & W 26th Street,44.95618,-93.27796,15,,
2014,30050,3rd Street S & 2nd Ave. S,44.97974,-93.26599,27,,
2014,30051,7th Street & 4th Ave. S,44.97497,-93.266684,15,,
2014,30052,Nicollet Mall and Grant Street,44.96995,-93.278133,15,,
2014,30053,2nd Ave N & N 6th Street,44.980536,-93.275626,23,,
2014,30054,Midtown Greenway & 5th Ave S,44.950371,-93.269278,15,,
2014,30055,Hennepin Ave. & 4th Street,44.98017,-93.27152,23,,
2014,30056,5th Ave N & 4th Street N,44.98439,-93.277316,19,,
2014,30057,McNamara Center,44.9743,-93.22854,19,,
2014,30058,Elliot Hall,44.97685,-93.23818,15,,
2014,30059,Glenwood Ave & N Morgan Ave.,44.981147,-93.304427,15,,
2014,30060,Nicollet & Franklin,44.96342,-93.277939,23,,
2014,30061,W 31st Street & Hennepin Ave S,44.946687,-93.29736,19,,
2014,30062,Minneapolis Farmers Market,44.98052,-93.28542,15,,
2014,30063,Elliot Park,44.970553,-93.26079,15,,
2014,30064,28th Street & Nicollet Ave. S,44.9519,-93.27831,15,,
2014,30065,Washington Ave N & 9th Ave N,44.989451,-93.279579,15,,
2014,30066,Wirth Beach,44.9798,-93.322066,15,,
2014,30067,Bryant Ave. N & West Broadway,44.999341,-93.290941,15,,
2014,30068,Girard Ave N & W Broadway Ave,44.99957,-93.297071,15,,
2014,30069,Farview Park,45.005994,-93.287559,15,,
2014,30070,West Broadway & Logan Ave N,45.002448,-93.305857,15,,
2014,30071,North Regional Library,45.012998,-93.296761,15,,
2014,30072,Lowry Ave N & Penn Ave,45.013318,-93.307798,15,,
2014,30073,West 34th Street  & Hennepin Ave S,44.941388,-93.298634,19,,
2014,30074,27th Ave SE & University Ave.,44.97259,-93.218919,15,,
2014,30075,Curfew Street & Ellis Ave.,44.96616,-93.20525,15,,
2014,30076,Carleton Street & University Ave,44.963549,-93.195906,15,,
2014,30077,Fairview Ave. & University Ave.,44.95665,-93.17706,15,,
2014,30078,Hamline University,44.964172,-93.165868,15,,
2014,30079,Sherburne Ave & Snelling Ave N,44.956624,-93.16734,15,,
2014,30080,Midtown YWCA,44.94823,-93.24054,15,,
2014,30081,East Lake Street & 36th Ave S,44.94826,-93.22106,15,,
2014,30082,N Victoria Street & University Ave,44.956052,-93.136556,15,,
2014,30083,Cleveland Ave & Marshall Ave,44.947957,-93.187437,15,,
2014,30084,Grand Ave & Cretin Ave,44.939936,-93.192758,15,,
2014,30085,Grand Ave & Fairview Ave,44.940513,-93.177093,15,,
2014,30086,Macalester College,44.940218,-93.17022,15,,
2014,30087,Grant Street & Portland Ave,44.96954,-93.2669,15,,
2014,30088,6th Ave. SE & University Ave.,44.983281,-93.24812,23,,
2014,30089,Lake Calhoun Center,44.94885,-93.31759,27,,
2014,30090,Portland Ave. & Washington Ave.,44.978068,-93.26023,19,,
2014,30091,Gateway Park,44.9825943,-93.2675139,15,,
2014,30092,2nd Street N & 8th Ave. N,44.989166,-93.27651,19,,
2014,30093,West 15th Street & Willow,44.968237,-93.281991,15,,
2014,30094,West 32nd Street & Bryant Ave S,44.94478,-93.29038,15,,
2014,30095,Lyndale Ave S & W 36th Street,44.93775,-93.29122,15,,
2014,30096,University Ave. NE & 12th Ave. NE,44.999894,-93.26296,15,,
2014,30097,Pleasant Ave S &  Lake Street,44.948556,-93.283163,15,,
2014,30098,Marshall Street NE & 8th Ave. NE,44.995348,-93.266854,15,,
2014,30099,Kowalski's Market,44.94016,-93.1529,15,,
2014,30100,Lake Como Pavilion,44.981914,-93.143383,23,,
2014,30101,N Milton Street & Summit Ave,44.941599,-93.138832,15,,
2014,30102,Randoph Ave & Prior Ave,44.926969,-93.182263,15,,
2014,30103,Hague Ave & Dale Street,44.945736,-93.12661,15,,
2014,30104,Logan Park,44.99882,-93.25276,15,,
2014,30105,Lexington Pkwy & University Ave,44.955363,-93.146379,15,,
2014,30106,Dale Street & Grand Ave.,44.939779,-93.126261,15,,
2014,30107,Dale Street N & University Ave,44.956066,-93.126088,15,,
2014,30108,University Ave SE & 29th Ave SE,44.971012,-93.214864,15,,
2014,30109,Como Ave. SE & 29th Ave. SE,44.987934,-93.212892,19,,
